id,fullName,season,age,weight,height,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8475253,Garrett Wilson,2015 - 2016,24-321d,218,"6' 3""",271:48,0.0,0.0,24.0,28.0,29,75.0,0.0,0.0,03:40,268:08,24,0.0,0.0,0.0,0.0,0.0,0.0,00:00,4.0,-3.0,0.0,371.0,,,,,,,,,,,,,,,,,,,,
8475755,Alexander Petrovic,2014 - 2015,22-333d,220,"6' 4""",536:34,3.0,0.0,34.0,29.0,33,76.0,0.0,0.0,06:11,504:23,34,0.0,0.0,0.0,0.0,0.0,0.0,26:00,34.0,-4.0,3.0,686.0,,,,,,,,,,,,,,,,,,,,
8475755,Alexander Petrovic,2015 - 2016,23-333d,220,"6' 4""",1119:04,15.0,2.0,90.0,53.0,66,157.0,0.0,0.0,10:29,991:15,90,0.0,3.77,0.0,0.0,0.0,1.0,117:20,76.0,17.0,17.0,1400.0,,,,,,,,,,,,,,,,,,,,
8475755,Alexander Petrovic,2016 - 2017,24-334d,220,"6' 4""",889:21,13.0,1.0,79.0,55.0,49,106.0,0.0,0.0,05:26,819:30,79,0.0,1.82,0.0,0.0,0.0,0.0,64:25,55.0,-1.0,14.0,1055.0,,,,,,,,,,,,,,,,,,,,
8475755,Alexander Petrovic,2017 - 2018,25-333d,220,"6' 4""",982:00,11.0,2.0,98.0,60.0,67,142.0,0.0,0.0,01:36,952:41,98,0.0,3.33,1.0,0.0,0.0,0.0,27:43,74.0,-2.0,13.0,1278.0,,,,,,,,,,,,,,,,,,,,
8475755,Alexander Petrovic,2018 - 2019,26-333d,220,"6' 4""",452:09,1.0,0.0,24.0,40.0,26,86.0,0.0,0.0,04:36,408:38,24,0.0,0.0,0.0,0.0,0.0,0.0,38:55,42.0,-8.0,1.0,623.0,,,,,,,,,,,,,,,,,,,,
8475760,Nick Bjugstad,2014 - 2015,22-197d,209,"6' 6""",1193:55,19.0,24.0,38.0,207.0,72,148.0,7.0,12.0,166:50,989:52,38,48.89,11.59,3.0,0.0,0.0,0.0,37:13,29.0,-7.0,43.0,1508.0,,,,,,,,,,,,,,,,,,,,
8475760,Nick Bjugstad,2015 - 2016,23-197d,209,"6' 6""",1039:10,19.0,15.0,41.0,171.0,67,87.0,6.0,15.0,173:16,855:24,41,51.73,8.77,3.0,0.0,0.0,0.0,10:30,28.0,-8.0,34.0,1306.0,,,,,,,,,,,,,,,,,,,,
8475760,Nick Bjugstad,2016 - 2017,24-198d,209,"6' 6""",710:15,7.0,7.0,22.0,91.0,54,72.0,1.0,3.0,76:32,631:51,22,47.57,7.69,1.0,0.0,0.0,0.0,01:52,9.0,-19.0,14.0,984.0,,,,,,,,,,,,,,,,,,,,
8475760,Nick Bjugstad,2017 - 2018,25-197d,209,"6' 6""",1239:49,30.0,19.0,41.0,230.0,82,95.0,1.0,7.0,124:48,1114:01,41,51.01,8.26,1.0,0.0,0.0,0.0,01:00,19.0,5.0,49.0,1693.0,,,,,,,,,,,,,,,,,,,,
