game_id,panthers_where,result,panthers_score,opponent_score,panthers_shotsOnGoal,opponent_shotsOnGoal,season
2014020558,away,win,2,0,33,30,2014-2015
2014020577,away,loss,3,4,32,26,2014-2015
2014020606,away,win,3,1,31,33,2014-2015
2014020611,away,win,6,5,35,30,2014-2015
2014020624,away,win,4,2,27,33,2014-2015
2014020637,away,loss,2,8,27,35,2014-2015
2014020649,home,loss,2,4,32,29,2014-2015
2014020666,home,loss,2,3,37,34,2014-2015
2014020678,home,loss,1,2,24,23,2014-2015
2014020703,home,loss,4,5,41,27,2014-2015
2014020717,home,win,3,2,31,33,2014-2015
2014020731,away,loss,1,3,27,14,2014-2015
2014020742,away,loss,3,6,36,38,2014-2015
2014020746,away,win,4,2,30,34,2014-2015
2014020762,home,win,3,2,20,31,2014-2015
2014020785,home,loss,2,3,36,25,2014-2015
2014020802,home,win,6,2,26,33,2014-2015
2014020815,away,loss,1,2,27,23,2014-2015
2014020820,away,loss,0,2,37,28,2014-2015
2014020834,home,loss,1,2,41,33,2014-2015
2014020850,away,win,3,2,17,29,2014-2015
2014020864,away,win,3,2,21,39,2014-2015
2014020877,away,loss,1,4,22,39,2014-2015
2014020888,away,loss,1,5,35,26,2014-2015
2014020903,away,loss,2,3,36,38,2014-2015
2014020912,home,loss,0,3,20,29,2014-2015
2014020923,home,win,5,3,47,14,2014-2015
2014020934,home,win,4,3,26,23,2014-2015
2014020946,home,loss,2,3,42,34,2014-2015
2014020960,home,loss,3,4,24,32,2014-2015
2014020973,home,win,4,3,18,28,2014-2015
2014021007,home,win,4,2,20,20,2014-2015
2014021024,away,win,2,0,22,27,2014-2015
2014021030,away,loss,1,2,39,34,2014-2015
2014021044,home,loss,2,3,43,25,2014-2015
2014021056,home,win,3,1,32,27,2014-2015
2014021071,home,win,2,1,25,27,2014-2015
2014021095,away,loss,3,4,36,25,2014-2015
2014021106,away,win,4,1,28,25,2014-2015
2014021122,away,overtime loss,2,3,23,25,2014-2015
2014021129,away,win,4,2,37,27,2014-2015
2014021142,away,loss,2,3,24,29,2014-2015
2014021157,home,win,6,1,35,32,2014-2015
2014021172,home,loss,0,4,34,22,2014-2015
2014021181,home,loss,1,4,25,28,2014-2015
2014021207,home,win,4,2,30,36,2014-2015
2014021222,home,win,3,2,27,33,2014-2015
2015010002,away,loss,2,5,22,29,2015-2016
2015010003,away,win,3,2,26,29,2015-2016
2015010020,home,win,3,2,35,24,2015-2016
2015010046,away,loss,1,4,36,29,2015-2016
2015010062,away,win,4,2,20,22,2015-2016
2015010099,home,loss,2,3,34,30,2015-2016
2015020020,home,win,7,1,30,39,2015-2016
2015020035,away,loss,0,1,31,33,2015-2016
2015020041,away,win,4,1,30,23,2015-2016
2015020055,home,win,3,2,29,26,2015-2016
2015020068,home,loss,2,4,26,37,2015-2016
2015020083,away,overtime loss,2,3,33,35,2015-2016
2015020097,away,loss,2,3,19,27,2015-2016
2015020113,away,win,6,2,30,35,2015-2016
2015020128,home,win,4,1,28,32,2015-2016
2015020150,home,loss,1,3,32,30,2015-2016
2015020160,home,overtime loss,1,2,27,27,2015-2016
2015020184,away,loss,2,3,25,39,2015-2016
2015020193,away,loss,2,5,33,32,2015-2016
2015020201,away,loss,1,4,19,35,2015-2016
2015020222,home,win,4,3,31,28,2015-2016
2015020236,home,loss,2,3,38,19,2015-2016
2015020251,away,win,5,4,23,28,2015-2016
2015020265,home,win,1,0,20,39,2015-2016
2015020285,home,loss,1,3,25,41,2015-2016
2015020296,home,overtime loss,4,5,43,31,2015-2016
2015020313,home,loss,1,3,34,32,2015-2016
